時間,序號（排序）,站位名稱
11305,1,臺灣科技大學側門-捷運公館站(2號出口)
11305,2,捷運公館站(2號出口)-臺灣科技大學側門
11305,3,臺灣科技大學後門-捷運公館站(2號出口)
11305,4,捷運公館站(2號出口)-臺灣科技大學後門
11305,5,臺灣師範大學(圖書館)-捷運古亭站(5號出口)
11305,6,捷運古亭站(5號出口)-臺灣師範大學(圖書館)
11305,7,清江國小-捷運奇岩站(三合街)
11305,8,捷運象山站(2號出口)-象山公園
11305,9,捷運台北101/世貿站(2號出口)-臺北醫學大學
11305,10,捷運劍南路站(2號出口)-樂群二敬業四路口
